n,p,q,tau,B,shape.mle.1,shape.mle.2,shape.mle.3,shape.mle.4,shape.mle.5,scale.mle.1,scale.mle.2,scale.mle.3,scale.mle.4,scale.mle.5,shape.lower.1,shape.lower.2,shape.lower.3,shape.lower.4,shape.lower.5,shape.upper.1,shape.upper.2,shape.upper.3,shape.upper.4,shape.upper.5,scale.lower.1,scale.lower.2,scale.lower.3,scale.lower.4,scale.lower.5,scale.upper.1,scale.upper.2,scale.upper.3,scale.upper.4,scale.upper.5,logliks,shape.1,scale.1,shape.2,scale.2,shape.3,scale.3,shape.4,scale.4,shape.5,scale.5
1000,0.215,0.825,377.709824077126,1000,1.38369403324805,1.07251203005531,1.27974546424162,1.18724328890797,1.06067312797931,836.376460603432,1249.33876266904,821.851569733596,1020.0873059691,913.209876207995,1.17230949568594,0.876508557811816,1.12156191292258,1.01427222163837,0.895633131047766,1.65055538139791,1.27663360895882,1.45365765813263,1.43611059966055,1.25330795154826,679.364222081698,926.101948445874,683.969315980767,798.809376593995,712.417397279682,1095.12203548247,2034.14999231783,1055.40982462234,1450.94649520951,1219.5421259727,-6128.22524877245,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
1000,0.215,0.825,377.709824077126,1000,1.22087485306245,1.22708705907557,1.11926920850999,1.09331373941389,1.27147069925957,1219.43172626782,789.489220468488,746.092196515773,1109.00828941027,933.351793043151,1.00231647362362,1.02473380702778,0.971849062070209,0.925366946554899,1.01608783416045,1.60906597579214,1.50628992031755,1.31945197408826,1.30630881238155,1.57848946507315,867.441533392227,638.125536253446,618.715456939798,831.404948710905,729.974882781384,1968.86182696218,1021.45965869439,956.138547094774,1632.37955562985,1350.35005253538,-6272.57301532296,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
1000,0.215,0.825,377.709824077126,1000,1.33295175619552,1.2464556527701,1.19290811674962,1.13084829312757,1.08049418593092,846.260816109192,920.405227626015,844.787350620887,1092.83883789356,1010.30062527315,1.12879713895263,1.08196018159097,1.02093900504878,0.93429412018294,0.937241550833898,1.58958560449943,1.45625683815993,1.41621263457626,1.35661534862202,1.25683426698447,681.689610847547,742.616226087369,685.659359143257,832.472457061128,811.526296990928,1125.64459744557,1203.70264003037,1096.18819158628,1646.05050307884,1445.38299856271,-6165.73102283332,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
1000,0.215,0.825,377.709824077126,1000,1.2006564987995,1.19254595378228,1.22682483695642,1.18926329838219,1.14806805361123,1153.72427098559,973.594782065739,719.818493877997,977.543197246514,879.406921800178,0.982450077378578,0.992394414796949,1.08901469950825,1.01421598559034,0.983545574181657,1.49282744898925,1.43680434441603,1.37706319371562,1.43995614164663,1.34651436238339,848.174820624505,760.089607455341,616.880482565355,765.789010828731,702.142069491588,1839.94740134911,1460.34772201179,893.345952548089,1379.08818737182,1189.70452956789,-6187.89228994437,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
1000,0.215,0.825,377.709824077126,1000,1.19554001898651,1.28477625528796,1.04338795249284,1.29785464515981,1.13449738357665,995.020647175689,742.14333711798,888.278632098002,786.445539453674,1122.06204888244,0.959801246483194,1.06607939611043,0.901177420750032,1.05814516869974,0.952341229413091,1.46483856957532,1.5525426318094,1.2160465985377,1.65093305933663,1.38391438174957,742.605888508786,605.441700283161,708.240035867978,618.661730440867,842.700539211753,1469.99709045447,944.368654080619,1186.35627620077,1087.71882085116,1651.30230427515,-6311.72061906008,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
1000,0.215,0.825,377.709824077126,1000,1.17618857613495,1.1893410049219,1.17414021935473,1.11136814298868,1.22354375754385,966.63165904747,825.630515531548,807.134143115234,918.317040768327,865.997360335698,1.00865805618581,0.992584314569737,0.952218844401597,0.95679821241363,1.03092626312326,1.39861347110375,1.39649120659032,1.42443969107619,1.27748498150087,1.48379742515825,756.009489270736,660.744124801881,648.283513313914,740.141911630329,688.827955299514,1365.29118655912,1138.43854955127,1177.2070172047,1252.46887233036,1151.43314687331,-6316.16381203356,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
1000,0.215,0.825,377.709824077126,1000,1.4342716432226,0.966830082982277,1.10795920036859,1.12007209148618,1.211854301812,812.251970924352,1200.32025527544,872.449177311914,1065.64280172055,915.734303637361,1.22188430773489,0.778518757096016,0.967708766555061,0.895410815560604,1.02211725011958,1.70201509160546,1.15614044035865,1.27314850075827,1.37807235082762,1.47588774930888,674.061509945732,873.764894526261,709.464943755542,801.158780410599,730.675440990958,1047.6327503487,2013.59943974656,1117.21645312398,1672.46014896217,1240.23312757249,-6129.68911635323,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
1000,0.215,0.825,377.709824077126,1000,1.36307997501919,1.23132105286872,1.24410842472464,1.37365137401078,1.01210898843076,966.770239597859,711.066883061354,684.41732329297,746.693348426783,1176.57187265137,1.09378979643836,1.0821744124801,1.08954108167478,1.16031035746854,0.843242659339801,1.64539161521751,1.41081412211411,1.45568346748816,1.62368909428751,1.24865753818568,732.917099986049,593.601698697368,566.042073134879,609.243299969817,838.736687792329,1417.52484836683,902.546774720022,859.944544387184,959.230176900542,1821.12654006529,-6366.68883084147,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
1000,0.215,0.825,377.709824077126,1000,1.20051986790626,1.23449946852887,1.14440731704068,1.23805292930045,1.25813498321886,1083.62138066416,890.628012145277,835.375888560762,884.145663034262,817.669894686504,1.02498554983942,1.00587933570484,0.982706797128755,1.06503415300491,1.05705137619425,1.4442609436275,1.5296439548907,1.34627494348851,1.45890455342441,1.49875696734925,819.636940410431,683.829009833201,679.758189840508,708.157726685271,663.825459492667,1567.2972790899,1254.5192554961,1119.9496623349,1176.02805261493,1074.50816014435,-6243.00691264369,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
1000,0.215,0.825,377.709824077126,1000,1.36455247162096,1.329456574922,1.1635841595117,1.02319136553322,1.21463654151717,893.975100789356,833.80898724957,885.356318359225,1110.25541036039,1006.65747648611,1.15925204010492,1.0647902132299,0.946212834938271,0.796243921760844,0.995329002910946,1.59753059135321,1.55937716121558,1.40245728621056,1.24122142067444,1.45164302287695,720.924332294766,679.435187647447,700.850314978064,827.183911431475,779.490408149402,1177.77317092809,1182.9870010721,1295.0808244169,2024.41221261441,1435.00988187455,-6123.01477170549,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
1000,0.215,0.825,377.709824077126,1000,1.42264860956025,1.27415189673887,1.11475352748496,1.12724378237443,1.3098873647412,750.800067454113,710.4491806139,827.565939440165,1190.18070717615,745.794860018309,1.23352801191245,1.12481396851932,0.940011486765717,0.97940494140892,1.14720883463855,1.65073641841076,1.44741813774888,1.30433203395073,1.29809698645215,1.47781040708985,623.971751476853,594.407528857977,669.468894473347,919.687361250754,623.944287788053,968.698672165398,890.59302339011,1180.45058698219,1768.7841224724,936.782506856497,-6252.16187937487,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
