"n","p","q","prob3","mttf3","prob1","mttf1","mttf","tau","shapes1","shape.mles.1","shape.mles.2","shape.mles.3","shape.mles.4","shape.mles.5","scale.mles.1","scale.mles.2","scale.mles.3","scale.mles.4","scale.mles.5","shapes.lower.1","shapes.lower.2","shapes.lower.3","shapes.lower.4","shapes.lower.5","shapes.upper.1","shapes.upper.2","shapes.upper.3","shapes.upper.4","shapes.upper.5","scales.lower.1","scales.lower.2","scales.lower.3","scales.lower.4","scales.lower.5","scales.upper.1","scales.upper.2","scales.upper.3","scales.upper.4","scales.upper.5"
100,0.215,0.825,0.328824833415765,1063.43617555016,924.869251041088,924.869251041088,196.415416746624,346.196514899538,0.7,1.53794892388462,0.875229471447779,0.688756796813083,1.62645737943847,1.38284463349468,620.2192587551,1178.22993440627,780.186930594682,711.928393973203,1098.51926689737,0.67964280308066,0.494701449773086,0.498363458712747,0.947222827982069,0.742128199053324,2.30639845743775,1.33719486395819,0.982620951857395,3.87689889052398,4.61417689646199,389.440924662841,580.906581066295,443.445814476592,438.226419299604,508.254283808916,2432.76204612526,12186.1524133394,2265.9500137278,2803.33973023136,4969.64333056349
100,0.215,0.825,0.328824833415765,1063.43617555016,924.869251041088,924.869251041088,196.415416746624,346.196514899538,0.7,1.43572261710247,4.90289285816599,0.548929446465756,1.94699136616236,1.29316350878062,974.794766248747,537.121227208013,1095.33624904373,729.070327882977,624.785003820479,0.822577692010657,2.99274227358748,0.413517212323223,1.09080402121949,0.769918698010314,2.35904628648848,9.84756185346585,0.712300368505623,5.69423140973627,2.21985639352218,567.411945257699,410.040533789541,533.082762173568,441.4705779501,423.629425028758,4213.05875426543,1331.07545911975,4015.90527282174,2398.30624376351,1735.37939710037
100,0.215,0.825,0.328824833415765,1063.43617555016,924.869251041088,924.869251041088,196.415416746624,346.196514899538,0.7,1.46911602417437,1.2307895191276,0.785668204245114,1.36564113844895,1.13103987603186,834.838666349728,968.553588014831,561.989883287554,945.5023194753,807.675391474177,1.11542915054641,0.76362964286038,0.544028646188172,0.873517626282415,0.664579430780198,2.21783292231709,1.76189252665252,1.12750044259804,2.554182491494,1.71871724806359,447.325993429995,521.585919375415,344.326745261868,484.380401130523,440.40576716538,3154.52095421789,3008.45838315096,1368.3836316388,4216.15668990649,2790.43223497937
100,0.215,0.825,0.278487170955192,883.95437971124,924.869251041088,924.869251041088,210.627343926679,362.492299414816,0.9,1.46598593535736,1.20062522362274,1.3024920267156,0.919314582927586,1.06376428684432,732.108722389801,1016.71081404156,648.651921695831,1075.26038169171,1656.3395077036,0.984059277155286,0.846433162145369,0.891334873168328,0.650757643880096,0.669822912089372,2.10942879618149,4.86339769117563,5.01319362065511,1.48641714197092,3.93826241821755,481.781555059647,530.410686108531,430.672127740924,566.360578770461,633.621942719365,1629.17453527657,4368.71215578892,1498.38427758937,3426.99278453924,16831.7509254877
100,0.215,0.825,0.278487170955192,883.95437971124,924.869251041088,924.869251041088,210.627343926679,362.492299414816,0.9,0.759880730889453,3.4778847624289,0.979575839749716,2.10439791673112,1.3216375083402,1119.04174706037,577.360113605945,949.991579784381,442.726629895082,971.195796705686,0.554385277156776,1.50717344170706,0.62006756856481,0.955960041080713,0.513024627602445,1.01087417642868,8.39092253398283,1.54476056007041,3.46804677600646,3.92075649996171,595.639461802995,420.31154762357,527.676040666419,352.334933969422,464.145253160796,4070.86198237618,1872.73684610896,3708.08755385785,885.070496019689,16714.7168721465
100,0.215,0.825,0.278487170955192,883.95437971124,924.869251041088,924.869251041088,210.627343926679,362.492299414816,0.9,1.16239318898042,1.19105818233289,0.997587544430391,1.19155594291018,1.09467345501652,846.647557125476,710.377935571981,604.934662569967,1444.41945420488,1364.89652835522,0.887544919862854,0.724482721403361,0.603515635025921,0.891189833432011,0.663663975529914,1.6678381394938,2.13463636957464,1.44752928427578,5.04739624072581,2.01293295777239,497.679235372542,445.299783161607,388.757775092729,619.389055388105,633.350782246427,2227.50746374402,2054.17182782825,1888.91497605987,5951.7179246355,9365.25667070885
100,0.215,0.825,0.278487170955192,883.95437971124,924.869251041088,924.869251041088,210.627343926679,362.492299414816,0.9,1.56096465405289,1.4173084798304,1.01247844396632,1.21322759479789,1.0419590969389,723.629469113394,737.234583381006,913.762164397745,990.670883343957,891.965742481564,1.14055987276744,0.750393322290006,0.706571965602441,0.772956440250442,0.773411037105609,2.39593861679207,2.51789164249671,1.48920756122537,2.01504743820031,1.618027373459,478.286568732952,459.65453612974,502.531817592433,545.88999467288,494.441846965972,1956.77829856018,3490.28657664005,2582.86545008028,3811.7626889698,2352.47566724451
100,0.215,0.825,0.278487170955192,883.95437971124,924.869251041088,924.869251041088,210.627343926679,362.492299414816,0.9,1.75927074373582,1.97649708842693,0.727641847068293,1.0613030084837,0.876704984951825,854.588038609125,543.172661962746,1209.6290193642,893.110771430836,1102.30749479806,1.37461788598199,1.18235425404447,0.55553117526893,0.715851377616334,0.535330373756769,2.58890276470315,3.33171722525715,0.983833768250827,2.1240332303657,1.41438663048405,534.046437455092,409.136771506643,603.738249135225,494.166883082771,571.093011074985,1725.66544299529,1052.72438817978,3583.75321607732,3119.47516338901,6955.32874112886
100,0.215,0.825,0.239039599065893,810.636587284279,924.869251041088,924.869251041088,221.454510863052,375.858579375114,1.1,1.47192535097506,1.45357353492888,0.999549429922489,5.32218360834188,1.25205067709097,1008.35702417473,591.000669359436,728.564126985788,519.393094535062,736.654330111946,0.829746829983036,0.948722390493531,0.710851550058614,1.0851789050494,0.858132314270573,5.03036461455972,2.36192130506118,1.37358759093138,10.1288899857157,1.8490752517482,460.465847551016,426.014380525773,463.580247887906,406.792601499839,486.335380026293,7387.0472459934,1129.09213897548,1680.25411160075,1465.67820721118,1628.80059509493
100,0.215,0.825,0.239039599065893,810.636587284279,924.869251041088,924.869251041088,221.454510863052,375.858579375114,1.1,1.10603251181553,0.877184777643516,1.05409928899265,1.75190145137066,1.15135134372996,715.251301842685,1629.14063648231,1046.40044091414,734.488300329454,719.510153149952,0.824582514947509,0.590303520944621,0.622100490483328,1.29751743403497,0.722511379878824,1.59630283291667,1.51716041200826,1.78317652945967,4.15314038622392,1.68046325253517,448.311907208422,735.226836310503,540.93085595351,466.067253297092,465.265546028286,1667.79283596585,17952.4828142583,6867.83534245693,1873.44963153058,2027.6079335363
