"n","p","q","tau","B","shape.1","shape.2","shape.3","shape.4","shape.5","scale.1","scale.2","scale.3","scale.4","scale.5","shape.mle.1","shape.mle.2","shape.mle.3","shape.mle.4","shape.mle.5","scale.mle.1","scale.mle.2","scale.mle.3","scale.mle.4","scale.mle.5","shape.lower.1","shape.lower.2","shape.lower.3","shape.lower.4","shape.lower.5","shape.upper.1","shape.upper.2","shape.upper.3","shape.upper.4","shape.upper.5","scale.lower.1","scale.lower.2","scale.lower.3","scale.lower.4","scale.lower.5","scale.upper.1","scale.upper.2","scale.upper.3","scale.upper.4","scale.upper.5","convergence","loglik"
90,0,0.825,377.709824077126,1000,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.41803766314704,1.22357388392161,1.13885286749661,0.760733600747322,0.967998614221152,747.759356575427,976.113203336356,906.02393599138,3445.76429739998,1772.13051236255,1.0148732851026,0.838955245290845,0.68362460621831,0.370471823288046,0.579537136570652,1.91533375990417,1.84283966084705,1.75964098194824,1.11367137502975,1.46161892817408,507.975634650312,599.187290558185,553.752354208117,1319.05180844458,891.657658186667,1447.56224452149,2340.89787570356,2719.35126380433,79281.7048005731,12851.7647292518,0,-554.307688411467
90,0,0.825,377.709824077126,1000,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.21022042839429,0.968276974382541,0.885056291801443,1.1657432742222,0.865275528063871,1800.44106577244,1145.65063802457,1017.77143542142,793.559520347686,1283.12194801627,0.763782905269152,0.520462247632518,0.628142684737905,0.72027728621953,0.551116017362366,2.22054888888866,1.64547715081332,1.12165986661796,1.90772026159646,1.39319611594286,740.198466014983,569.979011228639,596.439371826822,490.244684740257,630.794926137667,11295.6482139459,4989.72286420225,2814.76053377084,2159.33777057361,5443.62561295648,0,-580.578004508803
90,0,0.825,377.709824077126,1000,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.28096207397105,1.1865104843116,1.02411550467045,0.997938906902104,0.738167744835216,970.217811739682,815.504413265947,974.142623704439,2019.4469972617,2568.90221141165,0.701980342559761,0.74094116188529,0.632483056903487,0.725344485655591,0.421147391695306,1.99119346007548,1.81869374375607,1.61357478787969,1.47749085502576,1.26004401975988,578.578685981219,526.726760887896,563.05460666828,925.502700521655,904.028777275723,3716.41954102008,2200.93873265712,2773.48794250526,7675.98441932094,33665.1770717603,0,-574.913884990242
90,0,0.825,377.709824077126,1000,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.19058447360016,1.36142756303438,0.920996627433371,1.21152375640939,1.07564044875044,1641.21087064154,647.129130779363,1654.63445003381,854.376726045325,1365.13393158257,0.626959502882019,0.930041111983207,0.718521764102583,0.89598762999402,0.535466361345842,3.46436465049147,1.93615029015163,1.26111416298,1.82221073278923,1.78325033549993,571.295968482617,459.674596347394,828.256064556801,545.120057267533,684.813312485374,17013.9476763527,1208.2271216805,4454.91844142794,1660.03507626354,8457.91309077331,0,-575.051764478548
90,0,0.825,377.709824077126,1000,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.16415364737297,1.15983661713105,1.26223477635886,1.27928122175124,1.76163556436699,1624.49695030714,945.039155136733,1206.34236946385,928.206712122094,627.517997677592,0.916146997637556,0.725747826874765,0.503854878506191,0.62665001734259,1.22899669062718,1.76372836355855,1.58926263357749,2.48257271818852,2.02209675454494,2.60687904584997,821.794622695831,604.329956207206,580.693829232444,558.891762535414,460.801409953554,4511.32829837703,2536.55423894966,20221.9105809221,3474.31369751675,1069.9342502441,0,-563.814738069972
90,0,0.825,377.709824077126,1000,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.15806172519937,1.38936397567161,0.976263537127264,1.3249274434738,1.55955438491371,907.336010771141,901.596895957642,1217.40208434372,779.625669194169,940.704886407872,0.756702282605417,0.808993264014404,0.454173309710759,0.874968127824466,0.834505889065002,1.69151317125531,2.05309621701858,1.73051631664208,2.10273592899446,2.67293883908133,562.168647094288,564.60889178887,611.740853208025,493.190046329539,564.80557770749,2420.48005718931,2413.74058964497,9900.00798713768,1720.2171053049,3881.58820633291,0,-591.219054819488
90,0,0.825,377.709824077126,1000,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.13904564371052,0.985597957065999,1.24875899512729,1.82423524700904,1.02297756971064,1232.79926308131,1159.35113857166,1000.04939100525,515.434830186325,915.577280346381,0.667661986768892,0.801184966999065,0.752068285173144,1.10597804161449,0.677345729694017,1.87725242500915,1.29119585442686,2.25991759362951,2.48541694465595,1.50270828229137,627.565472011084,643.939300917414,544.112059264356,398.992763744693,538.214972247878,5555.65096003063,2435.93938095231,3630.55670914331,853.874958927815,2212.38699215735,0,-596.137133032314
90,0,0.825,377.709824077126,1000,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.2615866086223,0.954122471164309,0.999612047676761,2.10699812132153,1.32317757599741,914.193256021334,876.927587739405,1118.33682023905,611.674416382442,509.414889432857,0.867574193991815,0.642297526877018,0.723660406987678,1.43957734691,1.04063478631203,1.77617238481909,1.47224298169667,1.47949079249534,3.60031247330182,1.69353561508913,544.278720685481,498.826231047635,601.160820625111,447.804940398019,365.247891079641,2215.05870353456,2337.73496412729,3010.54986694005,1128.48890865459,779.104228175756,0,-614.833371947714
90,0,0.825,377.709824077126,1000,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.28319670385265,1.84234796593026,1.14931243620304,1.27660049175326,1.4664919825407,822.491886015118,813.413168708852,684.53887507471,1036.53432975792,749.157744029119,0.872525088046106,0.668416472726881,0.858427581841854,0.771182325902965,1.01632260368775,1.78290680073545,3.78159404334291,1.66599910576255,2.09554251385776,2.10858741007045,529.170299925453,495.666794558471,472.704159657356,595.346765055793,506.240120018806,1780.61287906771,5980.67166546302,1203.83150011293,3573.27287853786,1454.09148253746,0,-599.559327361196
90,0,0.825,377.709824077126,1000,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.53580908017449,1.26026821912042,1.02185707577052,1.30885232410352,1.1385929820892,622.206985039862,876.021215809584,1264.67065461506,637.337237134283,1068.46188184906,0.878818410759127,0.817240758638547,0.622342193187774,0.930857793127004,0.699906622974285,2.15603656560803,2.04916125095522,1.61488089028439,1.9176685028573,1.8719381281365,445.830844878658,518.616175851377,650.758782603436,450.685285772406,578.619939274936,1305.74805519505,2391.46644986263,6507.26336502476,1109.50485330785,4050.58612978548,0,-612.183841008395
