n,p,q,p.value,stat,loglik.F,loglik.R
7000,0.215,0.825,0.00206657985933617,16.8505056789436,-43350.1365613991,-43358.5618142386
8000,0.215,0.825,0.00557249572035477,14.6140245414135,-49705.1465836726,-49712.4535959433
10000,0.215,0.825,0.12018621445499,7.31421499775024,-61882.1960671464,-61885.8531746453
50,0.215,0.825,0.671689127832052,2.34995674944491,-330.43599816201,-331.610976536732
100,0.215,0.825,0.196852926833699,6.03089417860519,-622.72010995707,-625.735557046373
200,0.215,0.825,0.700114298085289,2.19407426878934,-1248.98804716256,-1250.08508429695
300,0.215,0.825,0.0775545070022753,8.41345082417229,-1851.33904603965,-1855.54577145174
400,0.215,0.825,0.307062960491488,4.81268246446598,-2479.85867836527,-2482.2650195975
500,0.215,0.825,0.946912719350142,0.735242665859914,-3098.39313615223,-3098.76075748516
1000,0.215,0.825,0.527350974652851,3.18503785667781,-6197.61320990573,-6199.20572883407
2000,0.215,0.825,0.109576608516108,7.54879915193669,-12339.6152693057,-12343.3896688817
4000,0.215,0.825,0.00184086987493105,17.109065469529,-24883.9664639909,-24892.5209967257
5000,0.215,0.825,0.356690004188014,4.38264825556689,-30835.756774303,-30837.9480984308
6000,0.215,0.825,0.0332700590791965,10.4658932087914,-37041.4081143541,-37046.6410609585
7000,0.215,0.825,0.422386217988365,3.88074181468983,-43482.1655633654,-43484.1059342728
8000,0.215,0.825,0.687924616546869,2.26074636858539,-49800.0936533741,-49801.2240265584
10000,0.215,0.825,0.000142914565599364,22.7368182396021,-61610.1956927999,-61621.5641019197
50,0.215,0.825,0.787110923012266,1.71983815044746,-304.501219325641,-305.361138400865
100,0.215,0.825,0.890372346985332,1.12445902216996,-577.99154853723,-578.553778048314
200,0.215,0.825,0.38550942734113,4.15442881068839,-1281.61026034985,-1283.6874747552
300,0.215,0.825,0.798961930958563,1.65451804422355,-1845.62160400326,-1846.44886302537
400,0.215,0.825,0.486209888653596,3.44552300407304,-2456.32355166035,-2458.04631316239
500,0.215,0.825,0.317275111699626,4.71979212056794,-3080.60126345185,-3082.96115951213
1000,0.215,0.825,0.0653622428760461,8.83486501966945,-6163.69137189142,-6168.10880440126
2000,0.215,0.825,0.17630680175815,6.32275041658431,-12315.4222818367,-12318.583657045
4000,0.215,0.825,0.061542389452096,8.98234105096344,-24532.859702668,-24537.3508731934
5000,0.215,0.825,0.0855189347868215,8.17077798542596,-30939.6704486079,-30943.7558376006
6000,0.215,0.825,0.0196138267436847,11.7135095623817,-37295.0615436621,-37300.9182984433
7000,0.215,0.825,0.0605876607884014,9.02055868681055,-43491.5518896948,-43496.0621690382
8000,0.215,0.825,0.00481719963908385,14.9447463224933,-49609.0121356812,-49616.4845088424
10000,0.215,0.825,0.00233281602491938,16.5791431651305,-62254.6583416683,-62262.9479132509
50,0.215,0.825,0.509891147890449,3.29395157534941,-300.539661803191,-302.186637590866
100,0.215,0.825,0.280579806513812,5.0661239897729,-629.217088332794,-631.750150327681
200,0.215,0.825,0.128036355427585,7.15268148596397,-1258.22677360684,-1261.80311434982
300,0.215,0.825,0.297829910015906,4.898893029791,-1867.98915350247,-1870.43860001736
400,0.215,0.825,0.210947037770549,5.84601301868588,-2404.59745257851,-2407.52045908785
500,0.215,0.825,0.227908811431119,5.63745346052747,-3095.13444628716,-3097.95317301742
1000,0.215,0.825,0.435184160052334,3.78991167408458,-6181.38741475792,-6183.28237059496
2000,0.215,0.825,0.31281238258946,4.76007780884902,-12502.1101126286,-12504.4901515331
4000,0.215,0.825,0.393092006009971,4.0965870249056,-25094.8027660423,-25096.8510595547
5000,0.215,0.825,0.14369102249482,6.8560981098417,-31115.3087683578,-31118.7368174127
6000,0.215,0.825,0.572889843733947,2.91063637105981,-37100.9857235378,-37102.4410417233
7000,0.215,0.825,0.00146017738212614,17.6257893165748,-43541.9756425821,-43550.7885372404
8000,0.215,0.825,0.0330044741184056,10.4849830688181,-49366.5385041872,-49371.7809957216
10000,0.215,0.825,0.00285673798018741,16.124370297679,-62134.2679070802,-62142.3300922291
50,0.215,0.825,0.096552499511068,7.86754447473072,-312.664313534678,-316.598085772043
100,0.215,0.825,0.35645392433666,4.38457656224477,-651.152422648726,-653.344710929849
200,0.215,0.825,0.282290787733813,5.04915680956128,-1277.14524300262,-1279.6698214074
300,0.215,0.825,0.143725573906735,6.85547697800666,-1896.56771536376,-1899.99545385277
400,0.215,0.825,0.506768251532981,3.3136765495683,-2501.18850178676,-2502.84534006154
500,0.215,0.825,0.142676884455511,6.87439045095653,-3071.46141015809,-3074.89860538357
1000,0.215,0.825,0.605953000233803,2.71866185269573,-6154.67003199781,-6156.02936292415
2000,0.215,0.825,0.0510091355996062,9.43931974783482,-12150.5374303669,-12155.2570902408
4000,0.215,0.825,0.0106811754970386,13.1249405592462,-24785.4199499937,-24791.9824202733
5000,0.215,0.825,0.63886539005237,2.53227802250331,-30777.844489322,-30779.1106283333
6000,0.215,0.825,0.862183141511766,1.29523690690985,-37139.0927860246,-37139.7404044781
