"n","p","q","tau","B","scale3","shapes.1","shapes.2","shapes.3","shapes.4","shapes.5","scales.1","scales.2","scales.3","scales.4","scales.5","shapes.lower.1","shapes.lower.2","shapes.lower.3","shapes.lower.4","shapes.lower.5","shapes.upper.1","shapes.upper.2","shapes.upper.3","shapes.upper.4","shapes.upper.5","scales.lower.1","scales.lower.2","scales.lower.3","scales.lower.4","scales.lower.5","scales.upper.1","scales.upper.2","scales.upper.3","scales.upper.4","scales.upper.5","logliks"
100,0.215,0.825,410.923395060473,600,1340.1141,0.885020013271039,1.9830083263258,0.848931841142396,1.18948357232153,0.9343828279063,1781.52587184249,690.923714145108,2159.57137428647,1852.99726931597,1262.78127655908,0.553875910497844,1.37992244913039,0.511969812742657,0.721108841981709,0.556559740595384,2.10030847408041,3.07616489475122,1.35036496119116,4.69234669203239,1.73267185802471,751.285034512918,497.143927029797,893.233479120787,760.652650208259,653.084198886667,20037.2507511963,1280.62619895296,22756.5547876918,10094.8929714055,5506.42650844722,-575.338999010027
100,0.215,0.825,410.923395060473,600,1340.1141,1.77366610472062,2.44805156635584,1.56016510411879,1.59893004625083,1.64393342965486,813.816499615075,555.521706549306,798.600770287007,628.675490249553,877.484489960862,0.509150119044976,1.42626911282224,1.08284752984549,1.19832096567985,1.20637096635059,3.79021417675396,4.69235578499635,2.41344408438008,2.17948776423309,2.33247286724233,503.251079194482,437.497320982722,525.021911420984,477.73373036346,562.407032320536,101728.401656367,1061.86832678552,1862.19719921715,1043.57872696699,1982.36511933556,-656.423235113603
100,0.215,0.825,410.923395060473,600,1340.1141,0.984682210510634,1.32231118620172,1.10501423790691,1.24744714268406,1.25916522922676,1834.0207917773,910.108188748393,1325.91907025367,703.5579752614,1009.05231914908,0.61174757951998,0.960912481307882,0.646537094551838,0.759418073466833,0.603717276954639,1.63197374839852,2.09910125132215,1.5993494823847,1.8885942756414,3.8194019188967,775.211595711296,556.279504630768,708.016283730392,485.557984452476,529.851852728419,12003.0341903669,2518.04978312291,9279.71241772118,1871.99787346749,13448.8201247056,-622.576201218471
100,0.215,0.825,410.923395060473,600,1340.1141,1.06455778122568,0.951918072094259,0.909480068041433,1.32759980380369,2.83681597310804,1924.06499507434,850.192026179207,1796.69723405328,916.122513766652,577.792532253234,0.620640775556384,0.797150845416247,0.647889355496237,0.970362799575202,1.7674893526411,5.27567120993112,1.19822878477386,1.51571153631274,5.61572265466574,5.28370057629758,541.677520896165,515.81387195702,791.212139722978,520.333051906962,456.073077320108,20832.255411199,1792.92326930946,10618.1876469822,2565.86517396494,857.007647357029,-596.198978259276
100,0.215,0.825,410.923395060473,600,1340.1141,5.54671422223378,0.915790768805473,1.0314638783129,1.26783988938094,1.88491633224214,502.3925213618,701.679746033977,948.51684940847,889.045709252194,514.382007528066,0.80027909113226,0.491291221496984,0.693175870585983,0.94434055274216,1.42191017142259,21.5424027702824,1.24054910909029,1.48754337338079,1.72464025779136,2.49136294015711,429.865571625225,428.865223262525,537.225735326063,523.386714010896,392.671122553516,2030.85191020655,2415.52021312762,2924.64714849909,2307.12148353304,823.207555083859,-646.034540560447
100,0.215,0.825,420.304298141518,600,1590.1141,0.842602684029284,1.66069863954805,0.966467936926174,1.29152437910291,1.22855852597642,1979.04827708441,1000.49876373551,1360.78655012095,690.961963884744,596.891975726698,0.598295813841276,1.00403431371472,0.647806707720181,0.972823683173033,0.830310910638422,1.24644396753255,4.12775493950805,1.48161472161697,2.0071419823823,1.81144773049061,795.883550200085,551.298222334251,649.649542308394,469.786910422681,418.305933928828,10374.7623308682,3336.30797500774,6486.9014683761,1315.25464020626,1205.05038765774,-630.934543635974
100,0.215,0.825,420.304298141518,600,1590.1141,1.19395740733965,1.29309691848175,1.32559189115745,1.65657971918915,1.68495947300928,823.821847982643,609.949696009554,838.366100946355,681.862240471855,914.368825569905,0.850356943007181,0.973131289928839,0.84827786554879,1.02484061500808,0.860020409020685,1.72504453910672,1.74615529377609,3.34538384138976,4.05985146706915,3.04846876582808,509.858202679962,429.737652134233,506.068400470745,473.473677009711,553.668929040983,2224.24340182077,1281.78893884455,3721.84151944634,1529.53439171273,4100.86175785327,-649.194273207154
100,0.215,0.825,420.304298141518,600,1590.1141,1.65805036209369,1.60572671579194,1.33957496589086,0.583482645797028,1.13009590305736,840.70729261625,593.167893455767,1641.82377367558,8764.39101917184,687.239271845698,1.09731893222782,1.13639751572148,0.762218552161909,0.345358247675566,0.79755733256868,2.60578339345354,2.59511624793198,5.69894843780542,1.37421024034413,1.74977132957954,555.406118201321,446.090178313805,641.039456392608,1088.70137278158,465.502018833705,2707.22433051284,1074.09620519251,9961.70949220567,992652.371841381,1421.23808016542,-612.600743947453
100,0.215,0.825,420.304298141518,600,1590.1141,1.09375131396351,1.30146271374797,1.97377630702618,1.24784528644361,1.54041684827288,1523.02056430647,874.418386654786,1016.94952453532,1015.53385116356,632.533857640907,0.588849392771921,0.886796802998008,1.00029851407218,0.913240980106485,1.00408891423315,5.14430152041762,4.06943037139486,4.98783817803038,1.69998595832331,3.36148812136219,528.779958231732,526.731734989683,548.577335953148,612.190953112736,456.996046070902,23864.0446203096,2451.48830739185,5130.23132316189,3071.52574016432,1267.08460965191,-621.210082877119
100,0.215,0.825,420.304298141518,600,1590.1141,1.71698068246494,1.39336628108284,2.04549072422127,1.26544800105416,0.904790773612123,930.521731728516,738.088502408386,844.39469019896,657.888084783391,1381.39965744937,1.33159961995202,1.0341417561557,0.797142892126388,0.98713521088808,0.589985067607548,20.060063642,2.04324790428652,9.49545223801836,1.83071006215429,1.23808510559564,507.97387311372,487.624641287234,486.853810429171,464.223963801643,707.889037472785,3607.37380890858,1369.35267535369,6445.37763091554,1486.89213432211,4461.14950954753,-620.740796570977
100,0.215,0.825,410.923395060473,600,1340.1141,2.27219034536772,1.1108877305823,1.19461216527865,1.009964946695,1.50525969956296,656.390473324249,682.418163372614,1309.98797395353,1221.12397871883,634.577029434081,1.30583276680774,0.883278343255327,0.671143995555362,0.720522714783184,1.04048672558965,3.76247119795973,1.42896346803913,2.45561223556276,2.24964657700574,2.07980726819439,466.439634007141,428.190203481823,624.49362797545,585.307017078833,440.401532213856,2170.2887589803,1394.27101040188,11195.7588391419,5790.84111392903,1109.2395784319,-631.262544491458
100,0.215,0.825,410.923395060473,600,1340.1141,0.955451634463313,1.23687383469147,1.32234426502315,1.30380872115,1.1799361354254,2011.6894873483,676.889765142935,1831.46457184976,696.173150792183,805.392119448646,0.58371741504997,0.841565736918765,0.49339479774317,0.845236142851413,0.758065692695727,1.60969103108106,2.04341396664592,5.15689258269995,1.93721772176371,1.81949308332173,894.235047257387,456.319241921757,510.783544057205,470.65620056832,493.140903851033,21752.8021431913,1410.66149023325,65564.567913554,1399.30124084518,2244.4027906141,-631.998465707105
100,0.215,0.825,410.923395060473,600,1340.1141,1.07490828325997,1.51276912490219,1.16595565137573,1.04464065348348,1.04364708278025,1182.95883481401,598.331602649861,1258.59753350822,1251.03980947112,3579.8635252061,0.763923967658127,1.0907297720841,0.629435595443498,0.705974107732412,0.531238089347747,1.58601923089517,2.07092329274886,7.67969574197817,1.64514958288511,4.24597005090766,645.853471159086,440.269241217161,502.655516885018,690.410789306096,699.98549131091,4043.14415159908,1010.25701255528,11432.8757437424,5338.63677781992,67991.4208173842,-590.542409777303
100,0.215,0.825,410.923395060473,600,1340.1141,1.44723311970228,1.59917816537286,0.676314430029414,1.16434562696725,1.92081918113775,619.758848683281,782.808450543305,8566.60936013299,1074.70273260815,605.687501634086,0.941055264401582,0.788098627766131,0.295465755675563,0.788840293429866,0.99580124850096,2.63363131829953,2.26003825806992,7.64492189502805,2.24646744412032,4.14933469028123,443.41247696608,516.1180218669,506.554748374796,618.469428247368,437.126080724925,1151.36586899072,2470.8559687568,20924661.8403229,3449.74943225423,2223.35349643925,-638.589859652727
100,0.215,0.825,410.923395060473,600,1340.1141,1.01510675499662,1.09463828940925,2.06781947517294,1.69775178165939,1.24241507251769,1528.31360792316,935.578312527941,714.329319712353,893.098380633709,861.761501944415,0.490818528613914,0.820142720648576,1.03510156058895,1.14576757851319,0.870417780029703,2.80073438890612,3.25054486335464,8.63191807739344,6.4527442529586,2.2389617750598,554.963403812413,550.110517333919,471.851527466972,527.83198428667,532.585592525543,215014.811581544,2862.64423139261,2816.07755281136,3084.73207762642,2378.52922507586,-608.256719922122
100,0.215,0.825,420.304298141518,600,1590.1141,1.08033428741976,1.06961672466399,1.92443799274086,1.09848508539316,1.78672022359217,1243.21447716082,867.447584153354,670.86818525375,946.260715848145,476.348029116053,0.702543059095524,0.752222464358179,1.15668513660206,0.814617615666687,1.17557797682163,2.2411652219386,1.4153400009675,3.37039628627155,1.42243359062388,2.59152864509883,579.52680909121,524.312764187709,478.347603374897,531.378412337244,376.021579592841,7555.24087054543,2316.06676797543,1612.91394810005,2620.83920789173,727.634475937249,-653.622597726146
100,0.215,0.825,420.304298141518,600,1590.1141,1.19809786337065,0.985129449123387,1.06446573977003,1.26425683322631,1.21888804388178,738.855111458708,1445.36187765506,1004.99502217604,1039.810658425,1240.32562909042,0.745039860617036,0.62361645698051,0.707496403930831,0.700564469491965,0.5845786043334,1.95821516943772,4.09651196877266,1.48791525338174,2.60801181249533,2.47360529085328,473.900184821791,546.476248111788,562.192135161358,589.886593937342,604.521648467393,1716.95944445785,20889.8445099358,2880.43420411021,8398.59760362096,17977.0540038598,-629.076290728083
100,0.215,0.825,420.304298141518,600,1590.1141,1.45038475097848,1.00028360701149,1.00305278160499,1.01694957763488,1.60297168703943,805.335802812357,1196.32373084979,1469.63845906246,1133.15164442587,689.168891823304,0.927062118231719,0.705690020766088,0.66889393342226,0.740047243293459,0.947772648124962,2.2697776558346,1.70464667858392,1.58501265124682,1.45795957299839,3.19096078863777,516.681022009725,632.779780222961,734.168363477564,631.490683678442,481.353577393763,2161.58682369003,4323.1901658715,6575.65692906811,3654.07526345875,1497.52324310729,-628.578625623131
100,0.215,0.825,420.304298141518,600,1590.1141,1.24971601164213,1.24853867857859,0.77410959129833,1.43442733583094,1.46725047185349,1235.10278765989,707.248052679266,2597.13007250958,620.669937517734,931.553677223646,0.711580965418298,0.780923942004508,0.433394787350628,1.03207126006097,0.916230458947933,6.75675231862041,2.1646790142352,1.31075064127244,3.05313520237318,5.23766889505563,504.289950196806,485.81431290732,921.372244586205,466.178011761866,504.806784706828,7319.16397212341,2104.48944511601,87652.508890833,1468.63665341883,3897.40794736765,-643.457306080751
100,0.215,0.825,420.304298141518,600,1590.1141,1.70172481967477,2.05928715052884,1.82580931527547,1.21711710166068,1.19703704887972,648.097868319762,581.511098879319,1068.93100210716,975.93531152244,960.646718317676,1.14162198940887,1.56019771470628,1.18558058018755,0.877875437248092,0.893801474548669,2.70025622000277,3.07401143672081,3.30787548182418,1.61010474480031,1.68807857596883,463.647518151458,437.814308246359,595.697530095921,585.640469239237,580.199646207007,1305.23741865205,895.179168564052,3563.27288147741,2430.11397344093,2802.0209917132,-628.940656871937
100,0.215,0.825,410.923395060473,600,1340.1141,1.43227771488819,1.16428931897918,1.42016560598142,1.42318385751273,1.08229941429352,921.008280459086,1753.03514675468,765.506679417664,789.622821894498,892.924942254852,0.749223689926862,0.597719982731344,0.657795394427853,0.625024075992771,0.467099538658992,2.47050977672268,4.25697034713222,3.08726074270072,2.66256210625758,2.02158385252047,555.721165788401,545.331750874594,482.393821953995,512.106384452682,537.718875966826,6799.46901882657,41153.0544792427,4244.18726981639,5292.7962025564,15816.832816997,-628.809198286643
100,0.215,0.825,410.923395060473,600,1340.1141,1.20880626514883,1.05807959257641,1.2358899866184,1.23616923653776,1.32366716406875,941.474981799053,1043.96090907601,3404.78335262539,1060.28034081061,857.660156954882,0.896205387730966,0.602989277013843,0.769658251612222,0.866824437445623,0.698222441663651,3.63475567968933,1.48431198135537,4.68958065091341,2.72519178415485,3.32591095247001,565.863295051818,651.334916735738,514.065663484977,572.935326653866,527.586953009824,2488.89203405061,3881.52982504498,8693.90457384459,3254.02531831064,3071.07537543039,-598.769997314092
100,0.215,0.825,410.923395060473,600,1340.1141,1.13884124860065,1.37670088519878,1.73250028667807,1.02294020860925,0.855045761390933,718.780954769044,961.528090518802,1023.13109621261,1150.81710897664,2516.70164662723,0.840902141798054,0.859248701022328,1.16623505224982,0.669478631608192,0.564681041917815,1.79710339060572,3.21184389893978,6.41909638482031,1.92850503469831,1.55727779451925,492.470594867048,555.407303361479,506.168785536648,627.651898296434,842.721036689317,1451.6881630938,2847.07744792049,3211.24205073656,5500.29218964246,41458.2004764903,-610.640601064982
100,0.215,0.825,410.923395060473,600,1340.1141,1.28820996571953,0.899367055732671,1.32133733709168,1.45146045943641,1.00071906087413,1332.88223692762,870.091472936401,1190.43502268948,617.904666437239,956.796423264419,0.795230242434721,0.642375210301517,0.47444935802989,0.803668369621591,0.639471175382173,2.30193595677884,1.30939770550293,2.65487412329443,2.62751569851913,1.39811574901981,648.981218139275,530.87514788107,573.556527624565,442.754484670186,546.734340405534,13960.5332247726,2507.90237861589,37034.3398714871,1576.2616445236,2899.51907447044,-643.189242455824
100,0.215,0.825,410.923395060473,600,1340.1141,1.13327155916145,0.769993972399787,0.840801717073271,2.0773994115566,1.61393357679973,1718.08874400975,3045.27216032931,3496.62191257469,625.661906335262,735.290105243967,0.547447283807763,0.544849045572796,0.531755714064421,1.11508639943489,1.07197570222631,2.82636173102043,1.15697931674515,1.42833585714591,3.8439239069016,2.45287594445109,697.002916739706,1306.44225851823,1246.34579751111,481.399076577352,521.103771368535,39295.433059148,30275.3114243634,64334.8200944934,1260.79525768423,1579.39068905258,-574.970504807928
100,0.215,0.825,420.304298141518,600,1590.1141,1.15666026532707,0.987477635089873,2.02153331064785,0.874365853027622,0.787424495635005,1101.59278866122,736.737003561651,913.502266244559,2892.19589906242,6133.11242627607,0.791716542822577,0.765589219912392,1.11770672473305,0.681228791638336,0.521714702475292,3.30799951763769,1.28674345176939,6.57720861761511,1.24867838917308,3.62841519087194,571.937183112397,474.047876153967,544.828241658626,1128.30731369998,819.755240311516,3724.99151826641,1392.08778209453,2637.19412323485,13550.2495596961,80528.4791403406,-565.767735296827
100,0.215,0.825,420.304298141518,600,1590.1141,1.091557220151,1.01414672970962,1.51946653155134,1.12022682663866,1.38503397676002,1026.31677016809,888.024060957389,1777.31998273317,768.691404484688,730.501420548276,0.671056870359817,0.669840487866927,0.742646417246112,0.745722850951602,0.95242466566554,1.72258716616809,1.63604921989801,5.78038166584046,1.77422808361669,2.61563794074464,569.27002374543,522.98610716604,756.979278315878,492.63771918961,490.725005919411,5191.15179838011,3323.4487301253,5199.24245876639,1761.83233562521,1879.27577899546,-637.882096715233
100,0.215,0.825,420.304298141518,600,1590.1141,1.59952704313013,0.697470623021354,1.61674952106386,1.21459283258447,1.10511311793139,889.281397772325,2486.61308133557,977.431603305199,729.899810490106,1190.79194690477,1.26594650879901,0.419036094012132,0.940930398800349,0.88973244072651,0.778785573476349,1.93922360704136,1.0738352461957,2.37959062435047,1.65553831834924,1.89474488411914,578.855528738765,969.920808501715,587.86102788079,494.941937327828,628.338659199097,2397.80292923719,38978.1759868491,3396.93326964777,1538.49596629282,4969.69225797055,-592.68213521241
