n,p,q,tau,B,shape.mle.1,shape.mle.2,shape.mle.3,shape.mle.4,shape.mle.5,scale.mle.1,scale.mle.2,scale.mle.3,scale.mle.4,scale.mle.5,shape.lower.1,shape.lower.2,shape.lower.3,shape.lower.4,shape.lower.5,shape.upper.1,shape.upper.2,shape.upper.3,shape.upper.4,shape.upper.5,scale.lower.1,scale.lower.2,scale.lower.3,scale.lower.4,scale.lower.5,scale.upper.1,scale.upper.2,scale.upper.3,scale.upper.4,scale.upper.5,shape.1,scale.1,shape.2,scale.2,shape.3,scale.3,shape.4,scale.4,shape.5,scale.5
200,0.215,0.825,377.709824077126,500,1.37550266632408,1.03269581260554,1.09141854448414,1.62755794704178,1.02661831533431,897.811622811888,788.437705298904,766.688797299512,983.926905183037,1203.53699330978,0.963038830697675,0.83533841628535,0.590736684810961,1.07235358129081,0.815126890843211,2.10565584093926,1.2566692089769,1.40901194348909,3.4014602600725,1.34923666029014,582.518512199257,536.21918466768,527.918205962356,566.897134667022,720.896501406047,1958.02017419471,1299.07295409284,2573.63109866062,2892.22097557658,2558.02929908897,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
200,0.215,0.825,377.709824077126,500,1.44818551238527,0.918675273902297,1.22365682934759,1.09601627134213,0.916142733107853,1251.33749339922,1652.28390326119,721.353410570385,902.606155188774,1218.57503882485,0.885375832872214,0.701364779706139,0.884245604308147,0.823621718328767,0.678188010845392,3.91391616968441,1.18458782951755,1.81841915541245,1.62541459041291,1.32264685124846,591.403866973442,889.874809344315,512.688382640649,568.717414170522,680.620355013132,7837.94486816887,5007.67522760602,1294.59037018114,1783.58775604163,2988.77695496385,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
200,0.215,0.825,377.709824077126,500,1.06336198592444,1.55300175273535,1.07631359001052,1.02869850419733,1.17493144272797,1365.66021095338,892.227455826929,656.070938333577,1042.20300115888,711.079265465807,0.660350303044388,1.0856325585201,0.822933809807089,0.659119770077433,0.755594534571096,1.41416877468544,3.0941087006719,1.39014355075997,1.41127260430152,1.6674245736918,769.165082357778,570.649928227458,470.617219764859,625.586424065095,497.096243461391,4273.9776270366,2684.51411683971,1089.56335176957,2770.74169592281,1716.53084313346,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
200,0.215,0.825,377.709824077126,500,3.59582261959667,1.03575231859793,1.494792826655,1.02558718638316,1.48149974317332,594.841214835977,881.3805718588,639.049103277095,1005.91355916077,586.865440157977,0.618530907949871,0.658633317448942,1.03703744477834,0.676664204326442,0.874277940872183,10.443686536433,1.63893888608256,2.59149598284789,1.41862761330382,2.33675921364804,443.060501422808,566.992686524669,465.926874967075,645.858703645619,448.017136034546,13160.5865881307,2595.16916384265,1096.51875536536,2752.52294994233,1225.91128540667,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
200,0.215,0.825,377.709824077126,500,1.27116858677675,1.304932948134,1.15952345231276,0.999416267505597,1.06400515862821,1322.06445706422,826.198093176743,1104.44190842502,942.125754607112,1070.73146060375,0.948511674435142,0.755271580463123,0.831659712155742,0.769408893663852,0.784626253050418,2.15540831008948,2.47780553861408,1.68591748247119,1.27162806897218,1.51684337193994,747.288078816933,529.260555637827,680.088360622627,621.654894883596,665.929298652107,3527.82115241746,3268.35865390401,2655.87124939972,1888.92693556557,2799.13222900578,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
200,0.215,0.825,377.709824077126,500,1.51141193672465,1.02840514943753,1.13857276329225,1.41994191772117,1.32257977357441,778.696592401368,1004.90668460663,671.193697359489,714.366127988228,774.072830893565,0.871235297278753,0.690759903761677,0.863236509487526,0.933591850887135,0.942491166746439,2.24466328064742,1.56661085706864,1.55826709470641,2.08540783667508,1.70966781584734,496.436619345704,589.203889454645,456.113125044649,477.07190463534,543.564339606256,1932.75091541119,2755.63847550253,1073.57275988803,1615.94124975438,1695.98713254296,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
200,0.215,0.825,377.709824077126,500,1.39746642552519,1.35172663494957,0.916585270925356,1.22949963069498,1.0854047219717,957.342715429789,743.815178104815,1292.6897699703,1139.64802948501,1783.92461766989,1.01586696558312,1.08589760855906,0.745542676249286,0.850416690065543,0.672141424201215,2.25464808585626,1.96225914632823,1.22565294094596,1.93471747496991,1.5198636353007,633.462453099233,541.785324285844,777.302614149772,707.967019298325,932.891354673104,2338.75600107905,1155.53894231761,2559.80340299062,3145.29335350226,9962.48474202839,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
200,0.215,0.825,377.709824077126,500,1.37022770800213,1.17499048632323,0.924777618282196,1.55890124340739,1.17548476981951,768.866410730579,963.349980600656,1339.75280110552,713.229982043084,1084.32967181753,0.890739915596409,0.72166675995402,0.601160851866935,1.20442848907025,0.747382371116807,2.0964535681374,1.89334217036148,1.39357015744493,2.23329777459141,1.8684410774332,528.079127022146,589.129847477423,728.239801190004,524.239759925666,622.736977593029,1852.67441027661,3193.95479914538,4674.25047540301,1117.90149331831,4628.42475955994,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
200,0.215,0.825,377.709824077126,500,1.33921350512648,1.15735632400778,0.92636893167988,0.84865382104827,1.40811624257679,923.802965762874,815.38676161769,905.351760830324,1505.17362264826,1093.77794458596,0.826043317963175,0.859922771072079,0.713980182897734,0.562264541253656,0.934936396432129,2.71349653983836,1.69235710696124,1.21957261306683,1.33411697437264,2.96347049380391,551.734493101399,554.238848910633,616.508527526067,736.3238653985,602.34002631242,2350.16727998398,1604.23185160591,1661.10564171849,6217.09365369039,3571.0352425346,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
200,0.215,0.825,377.709824077126,500,1.1339237038415,1.02202036241359,1.43927230841705,1.4844159737007,1.19608949497479,1315.06538716457,1526.73812218975,582.49618066097,850.247498526599,946.008076876457,0.731934335023918,0.744255251635002,1.01298515175293,1.11548589767103,0.9074182051688,1.80849132463752,1.42395445855354,2.07075103037142,2.04844520744256,1.64231116252758,709.61803552955,854.252386608935,455.999061064934,555.556367973868,624.543962642335,4424.95675768511,4607.81052973097,888.991306669393,1444.27126947402,1807.74765124679,1.2576,994.3661,1.1635,908.9458,1.1308,840.1141,1.1802,940.1342,1.2034,923.1631
