n,p,q,prob3,prob1,mttf3,mttf1,mttf,tau,scale.3,shape.mle.1,shape.mle.2,shape.mle.3,shape.mle.4,shape.mle.5,scale.mle.1,scale.mle.2,scale.mle.3,scale.mle.4,scale.mle.5,shape.lower.1,shape.lower.2,shape.lower.3,shape.lower.4,shape.lower.5,shape.upper.1,shape.upper.2,shape.upper.3,shape.upper.4,shape.upper.5,scale.lower.1,scale.lower.2,scale.lower.3,scale.lower.4,scale.lower.5,scale.upper.1,scale.upper.2,scale.upper.3,scale.upper.4,scale.upper.5,shape.1,scale.1,shape.2,scale.2,shape.3,shape.4,scale.4,shape.5,scale.5
100,0.215,0.825,0.1359512118419,0.191167880250941,1434.74061391381,924.869251041088,246.512720866686,417.258528720743,1500,1.13582168752171,1.67060366953153,1.03344402624541,0.724312027388647,1.18516851179057,1616.73248894472,917.088481644386,1845.75197121853,1662.73953999078,813.148887512343,0.633604970702207,0.971586332534579,0.494168834656526,0.516353645177673,0.879995126509368,3.73821477621205,3.44257279074899,4.44295253715483,1.14310814968891,1.88992058806237,581.389717058013,547.58572706638,579.477143462502,656.034761339358,534.060879241185,24681.3550811506,2918.70178458995,87593.296486898,6290.51248318108,1881.18307358375,1.2576,994.3661,1.1635,908.9458,1.1308,1.1802,940.1342,1.2034,923.1631
100,0.215,0.825,0.1359512118419,0.191167880250941,1434.74061391381,924.869251041088,246.512720866686,417.258528720743,1500,1.74044098858904,1.31894156608504,1.76435123101581,1.66244687644709,1.58640592900622,624.645481964502,656.411518154768,651.251511119562,664.950261536801,604.054022948069,1.30064422293841,0.814216580942431,1.22674901190933,0.920923016253688,1.05620389826212,2.33407891125059,2.11463837822352,3.42384606255582,2.71043910865218,2.93400280693417,436.606733636376,454.338079511112,453.490000263508,457.226772675762,432.382331774888,1164.06734690233,1720.83268359438,1211.16777474247,1641.49059834976,1358.74336869914,1.2576,994.3661,1.1635,908.9458,1.1308,1.1802,940.1342,1.2034,923.1631
100,0.215,0.825,0.116617315361724,0.195650660072703,1673.86404956611,924.869251041088,251.132776990115,424.977968864722,1750,1.1021978305545,1.30342649400223,1.41408104514961,1.8387546812751,1.55469478227767,1557.65745560628,776.351623758673,950.396482087607,727.913446425057,885.096456922584,0.691714771207973,0.971541395810871,0.852055743704052,1.25261981811131,1.05846093622134,1.65656981027407,1.83128402886855,2.06455498506709,2.98209470490959,2.63521068753392,690.8873099915,530.158478569323,563.131134109483,517.047367931338,561.19826661422,8073.91649866494,1466.11520308606,2885.68485068706,1641.65528522409,2552.48207765113,1.2576,994.3661,1.1635,908.9458,1.1308,1.1802,940.1342,1.2034,923.1631
100,0.215,0.825,0.116617315361724,0.195650660072703,1673.86404956611,924.869251041088,251.132776990115,424.977968864722,1750,0.859114898779031,1.08788553406797,0.99882640336801,1.39573076488258,1.97392820698302,2236.20202705581,799.427026590304,3131.87008228862,792.569557463759,480.811248763629,0.495206386920923,0.79456069093877,0.395788853440999,0.950646266950651,1.56090726606565,1.97005178428434,1.56097009122318,2.14438947453221,2.12753560041492,2.68361109186834,812.830160021712,497.375642761892,849.810097480218,521.429880919468,386.542827149274,61775.8986137883,1888.75934102665,973233.283317589,1935.20194031046,660.427473047002,1.2576,994.3661,1.1635,908.9458,1.1308,1.1802,940.1342,1.2034,923.1631
100,0.215,0.825,0.553075327915399,0.0957972524877735,239.123435652302,924.869251041088,141.877032223114,241.321481188715,250,1.01669766870961,1.97646844877515,1.00273343954863,1.24005453666357,0.997902997152224,963.360776453137,406.860260406513,231.776401778372,769.902091059875,893.523051840691,0.579734098815516,0.914801224364123,0.817396117445221,0.924451545563803,0.635449694610503,5.34879497019337,6.77143041131408,1.25894970692026,5.14294385955126,1.801849437747,295.665332724145,261.192329336393,161.993970818653,367.306626260895,352.457631190798,19163.9607253165,3124.07789301911,346.903390619345,4407.52585103101,6988.34565165751,1.2576,994.3661,1.1635,908.9458,1.1308,1.1802,940.1342,1.2034,923.1631
100,0.215,0.825,0.553075327915399,0.0957972524877735,239.123435652302,924.869251041088,141.877032223114,241.321481188715,250,1.33489656170666,1.06697322250637,0.972433321530139,0.992304260413492,1.32399462451882,599.627363386285,805.782118022548,338.263608851937,1577.36828817076,546.325264881795,0.818613632287102,0.694279493269332,0.778189889149668,0.496927438166931,0.964405040369668,2.2481871746037,2.06139765329561,1.24134712045018,3.11941303074086,1.95053502906731,342.507002542004,369.022937240313,228.987935565091,484.984620680843,302.239238930039,2855.21131405657,4585.0202316656,595.424422888495,45505.784001941,1377.75356759071,1.2576,994.3661,1.1635,908.9458,1.1308,1.1802,940.1342,1.2034,923.1631
100,0.215,0.825,0.356446462328954,0.140393708864946,478.246871304603,924.869251041088,192.551785564447,326.781948325596,500,1.58670319447471,0.88576142179821,1.53919628499874,1.20037152398189,1.14284424832753,692.125519849293,1281.96903699819,379.576848558983,1408.32803402773,1084.98968501759,0.813321728431233,0.608939291132192,1.24286305476427,0.900934624238874,0.683871273153354,3.47761410589079,1.29105879111684,1.85708947108139,4.48883070548812,2.10212425538451,417.435110876525,594.195790826258,291.859801964536,664.393412463176,490.651186013903,5204.59911302042,5160.3898696748,540.873604739887,5388.23281455686,8410.38964892712,1.2576,994.3661,1.1635,908.9458,1.1308,1.1802,940.1342,1.2034,923.1631
100,0.215,0.825,0.356446462328954,0.140393708864946,478.246871304603,924.869251041088,192.551785564447,326.781948325596,500,1.8262971492854,0.813952932840337,1.1720593025564,1.11618960201051,1.15881315292051,708.520408452212,2055.10129242371,509.116951931314,1092.1899041682,1144.02471560094,0.837800889998505,0.569501251582769,0.866640356224196,0.74358828098935,0.622992586346481,8.68036837279787,1.34371588010428,1.64600945445866,1.65619956897234,2.37476001783282,380.947165755407,729.090484604728,355.011170054229,597.928249870672,519.911677568287,2781.3170141383,21030.6491533066,908.433587527439,6311.26546761498,8636.18574569745,1.2576,994.3661,1.1635,908.9458,1.1308,1.1802,940.1342,1.2034,923.1631
100,0.215,0.825,0.257851105105913,0.163013034765382,717.370306956905,924.869251041088,216.991020822759,367.829941016634,750,0.980272704881067,1.26048164487724,0.975816297170328,1.41029772007078,1.21621859533304,1258.00622325228,922.515392327042,1045.9988449381,715.256954910107,905.64083988107,0.452013365786102,0.933807436840695,0.572536527013428,1.09096723049872,0.817274827144306,1.59267753160585,3.4681719306386,1.64929703446952,2.04634253416064,1.89372686492062,602.943787863364,496.293629898178,568.424364220304,474.880562333748,529.109393414867,21334.6023967637,2416.50609137865,8433.81721668349,1443.43240246615,2948.45430201592,1.2576,994.3661,1.1635,908.9458,1.1308,1.1802,940.1342,1.2034,923.1631
100,0.215,0.825,0.257851105105913,0.163013034765382,717.370306956905,924.869251041088,216.991020822759,367.829941016634,750,0.974483277891433,1.02266589772957,1.23645706036214,1.25944460438778,1.28129318759359,4891.61422476662,670.162992923564,585.400980181917,1430.57624692858,701.18679957335,0.46107953149265,0.756211264659378,0.835374813096118,0.814785732239341,0.779938971040952,3.56652253845901,1.64711858313827,2.64375755306827,5.0628801489677,2.93159187425109,878.458043032754,436.750724482679,404.792445262892,631.925181110708,452.947203489722,24968.8424019999,1387.91831151916,1214.38610417258,5403.58001500028,2713.95090787999,1.2576,994.3661,1.1635,908.9458,1.1308,1.1802,940.1342,1.2034,923.1631
100,0.215,0.825,0.199949825732212,0.176362016848044,956.493742609207,924.869251041088,231.101477737775,391.477054325248,1000,1.19960466830647,1.32405036235773,2.05530795520621,0.751198843877388,1.21058258241574,871.921609978552,872.432345467582,560.855911430394,1743.12785629604,1337.79711576061,0.739117512701564,0.915447904041749,1.36897647224436,0.544930225974442,0.841102644612108,2.24024010432138,2.46049887268114,3.28976684244744,1.22426844093388,2.00325906925276,529.008209764255,517.262768896484,436.796824353521,736.125589377169,670.308322213538,2857.99652700155,2489.61617764705,949.491790388189,7717.41473902339,4375.83316342757,1.2576,994.3661,1.1635,908.9458,1.1308,1.1802,940.1342,1.2034,923.1631
100,0.215,0.825,0.199949825732212,0.176362016848044,956.493742609207,924.869251041088,231.101477737775,391.477054325248,1000,0.72872439559199,1.09454009062852,1.64014395676037,1.45601621542833,1.8771178249401,3997.85003177058,1546.82403412268,761.079979418386,607.117621706228,618.535447705558,0.402816993894943,0.643819629731264,0.910725525020106,1.12595241464863,0.749686164726379,2.37788136887497,2.56865638013359,3.57402868097902,1.9608441387201,4.50612950355108,636.173632213394,636.467440643109,479.417733939784,434.680431075093,436.058674766307,104450.021373013,9403.84552289838,2609.47795287288,1029.3868534763,2696.46054592293,1.2576,994.3661,1.1635,908.9458,1.1308,1.1802,940.1342,1.2034,923.1631
100,0.215,0.825,0.162265605156944,0.185073900675987,1195.61717826151,924.869251041088,240.198467236649,406.701271141681,1250,0.962549742838389,1.32724169420551,1.55749699695634,1.89850267108259,0.807505956164963,1541.60204989067,699.865161225955,752.686759677184,654.271772072227,2043.75168696123,0.71036897465304,1.00061445421345,1.05867647446033,1.13716650843541,0.550967737215561,1.37880502444952,2.03920379180163,3.22137477082908,8.05566252573613,1.09045935776212,706.655259133023,473.539149076614,483.820976441556,449.112826511427,954.379721799457,6393.46817929691,1382.02754488727,1621.39371905013,1650.18036648909,18113.5177588127,1.2576,994.3661,1.1635,908.9458,1.1308,1.1802,940.1342,1.2034,923.1631
