        [,1] [,2] [,3] [,4]  [,5] [,6] [,7] [,8]  [,9] [,10]
[101,] 1.113 1490 1.16  729 1.005  862 1.43  750 1.170  1014
[102,] 1.526  846 1.27  810 0.977 1037 1.15  869 1.106  1264
[103,] 1.150 1316 1.22  774 1.026  857 1.22  972 1.248   971
[104,] 1.264 1143 1.17  941 1.058  910 1.33  815 0.993  1397
[105,] 1.187 1117 1.23  762 1.021 1005 1.10 1016 1.115  1371
[106,] 1.614  883 1.21  778 1.016  988 1.26  851 0.959  1320
[107,] 1.473  769 1.09  898 0.890 1080 1.14  990 1.256  1071
[108,] 1.420  816 1.23  783 0.905 1043 1.22  958 1.192   883
[109,] 1.357  903 1.19  766 0.970 1028 1.13  944 1.054  1260
[110,] 1.284  914 1.31  743 1.006  914 1.35  718 1.056  1338
[111,] 1.588  879 1.16  855 1.055  895 1.46  771 0.995  1368
[112,] 1.338  829 1.45  682 0.980 1059 1.16 1035 1.195  1155
[113,] 1.287 1022 1.24  825 1.061  867 1.32  728 1.088  1104
[114,] 1.395 1054 1.23  764 1.106  767 1.28  919 1.134  1235
[115,] 1.464  788 1.27  852 1.019  770 1.14 1108 1.263  1063
[116,] 1.491  753 1.16  793 0.980  961 1.19  968 1.124  1070
[117,] 1.483  816 1.14  804 1.019  746 1.33  892 0.975  1759
[118,] 1.530  844 1.26  820 1.084  775 1.09 1117 1.072  1189
[119,] 1.330  926 1.23  801 1.068  720 1.23  953 1.112  1106
[120,] 1.269 1089 1.34  761 1.086  822 1.21  841 1.222  1200
[121,] 1.294  885 1.23  793 0.949 1087 1.24  892 1.046  1312
[122,] 1.386  997 1.21  778 1.003  793 1.18  885 1.108  1163
[123,] 1.413  932 1.36  781 0.918 1029 1.07 1029 1.026  1536
[124,] 1.258 1066 1.19  896 1.016  956 1.27  832 0.953  1330
[125,] 1.364  759 1.12 1021 1.008  796 1.24  939 1.008  1267
[126,] 1.300  971 1.19  767 0.994  951 1.28  843 1.010  1301
[127,] 1.331 1034 1.11  880 1.160  725 1.25  902 1.322   951
[128,] 1.401 1067 1.22  695 1.015  926 1.18 1069 1.019  1350
[129,] 1.366  827 1.25  745 1.061  874 1.25  857 1.140  1036
[130,] 1.390  896 1.19  770 1.207  764 1.29  923 1.076  1366
[131,] 1.437  881 1.13  849 0.997 1013 1.29  851 1.072  1318
[132,] 1.404  835 1.10  823 0.971  941 1.19  976 1.119  1276
[133,] 1.881  664 1.30  747 0.979 1123 1.21  926 1.078  1122
[134,] 1.271 1074 1.12  951 1.074  708 1.20  914 1.269   914
[135,] 1.466  785 1.26  848 1.127  776 1.35  921 0.937  1450
