"n","p","q","tau","B","mle.1","mle.2","mle.3","mle.4","mle.5","mle.6","mle.7","mle.8","mle.9","mle.10","coverages.1","coverages.2","coverages.3","coverages.4","coverages.5","coverages.6","coverages.7","coverages.8","coverages.9","coverages.10","lowers.1","lowers.2","lowers.3","lowers.4","lowers.5","lowers.6","lowers.7","lowers.8","lowers.9","lowers.10","uppers.1","uppers.2","uppers.3","uppers.4","uppers.5","uppers.6","uppers.7","uppers.8","uppers.9","uppers.10","convergence","bias.1","bias.2","bias.3","bias.4","bias.5","bias.6","bias.7","bias.8","bias.9","bias.10","var.1","var.2","var.3","var.4","var.5","var.6","var.7","var.8","var.9","var.10","mse.1","mse.2","mse.3","mse.4","mse.5","mse.6","mse.7","mse.8","mse.9","mse.10","loglik"
25,0,0.75,311.586721566695,500,0.899752321542852,6752.81890743437,1.05654012355894,649.352157870279,2.03313344135922,409.70682236979,0.658544306389542,23819.0265710636,1.33130174304914,997.743304397799,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,0.103039382405556,788.236402313896,0.338270651869842,216.152552058532,0.984005047743477,70.5133537426407,-0.0386973439048792,917.618904219721,0.495151538616999,409.505530273205,2.32673359270466,1717.91352270676,1.61390592282789,1123.83130709673,2.56067893792081,713.010079641099,2.2762478533914,1693.44290964984,1.88845426079692,1359.96947184034,0,0.32513961618471,96.106412331193,0.0618126479647165,8.57493330421315,-0.0676441916157814,52.8763585110276,0.312029019415686,79.6114658389474,0.172482204024789,22.173081692232,0.321162254977929,56135.6368340393,0.105688420052472,53510.4630351358,0.161457461257304,26811.1971216066,0.348061346846987,39093.1615868715,0.126085556367661,58673.9948866607,0.42687802499067,65372.0793252126,0.109509223500882,53583.9925163075,0.166033197916656,29607.1064109933,0.445423455804502,45431.1470798974,0.155835667072911,59165.6404383911,-147.509000334662
25,0,0.75,311.586721566695,500,2.47405013895752,632.104459537745,0.962325841884413,5545.72566114495,2.57673625626584,466.708540678686,1.31879884883479,449.636951646765,3.03921434382944,430.086500008802,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.842998680501315,413.036964298115,0.560129701300636,764.522050547324,1.00210489560038,248.885892446887,0.398029418959214,294.006882201345,1.13299353538687,153.424039579102,2.17994647226325,1678.72137865126,2.52928648848776,1652.87013956464,1.87994986194885,1231.56328909822,1.61606559606469,955.290872212485,2.10877136647895,1071.84512452041,0,0.175417666989728,27.7847977015118,0.163222856339727,90.0335539777631,0.143103877125072,-6.76115802407012,0.0832435260318913,-61.1070581892452,0.155373490387297,17.2193327756619,0.116092259631394,104045.962568337,0.251845944226522,51255.5281318812,0.0500506836901668,62718.5921508537,0.096359545526294,28402.0955830073,0.0618409655845119,54784.5450113488,0.146863617523513,104817.957551651,0.278487645058221,59361.5689737479,0.0705294033383945,62764.3054086801,0.103289030152516,32136.1681435511,0.0859818870996434,55081.0504325878,-152.635594082155
25,0,0.75,311.586721566695,500,1.41845901504671,678.23684832954,1.37393473672435,522.888601519365,5.34613453353181,4216.00086901892,1.11998368651561,1689.81848865835,1.01109823317585,611.237759833594,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.62762354777576,93.2449174092063,0.703932295027572,-83.759705511845,2.77384969200808,1714.09896244166,0.174334733477004,655.287646269051,0.738794382395358,106.24520490971,1.90862837143965,1187.49027180459,2.32454057402431,836.257755753485,3.47980888083122,2135.69043681841,1.91051649012793,1754.78394035118,1.35979991736584,980.729879923824,0,0.0629937770912397,93.4399791115533,-0.0940318756479241,124.473293498809,-0.338813296890392,-186.812964815041,0.27335799458876,-17.0993408221307,-0.0149759810562533,44.7156617777979,0.106580044715782,77768.512276329,0.170580928620448,54975.1607530182,0.0323693187111523,11544.044906134,0.195778386438597,78516.676399055,0.0250475533306318,49668.2403459272,0.110548260668003,86499.5419726965,0.179422922258314,70468.7615474588,0.147163768860889,46443.1287291198,0.270502979644186,78809.0638556064,0.025271833339229,51667.7307541536,-146.124035650002
25,0,0.75,311.586721566695,500,1.40426650576682,534.833580513484,0.951713237424044,800.775337840358,0.645503443450407,1188.01628938558,1.85101747707054,735.141663967331,0.637449898492802,6813.10158161344,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.273906638615988,196.438725690516,0.260805545111756,284.3655994303,0.350066233840257,366.526236889713,0.610917781672315,198.069292118469,-0.269580801550729,635.491799822522,1.80364984105085,1138.74992833296,1.41839451593039,1315.40662664859,1.08689165758814,1304.00671403458,1.92025745886271,1586.08017118829,1.99533301713713,1516.53320704094,0,0.145551560497257,-6.74745974837824,0.113218959262045,-9.75657064642721,0.0221156729796103,-12.5328623533931,0.221250490388245,67.7060446694993,0.218036123458752,31.2979245810475,0.151988746064631,57671.7428966265,0.0870328346164969,69044.050589096,0.0352617265316131,57081.9541922899,0.111347129394411,125129.614930242,0.333179084810934,50415.8400148467,0.173174002827818,57717.2711096825,0.0998513673528775,69139.2412598747,0.0357508295229542,57239.026831059,0.16029890889145,129713.72341503,0.380718835943854,51395.4000979277,-152.920223775158
25,0,0.75,311.586721566695,500,0.914231425873142,1006.96009861378,0.872161366992119,687.174427345975,1.09401454862014,623.733609564314,1.21203261322055,1188.91524017686,0.990269787301688,884.082440044687,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.467673326413676,354.930273698282,0.0837546635729558,312.121892853715,0.21069780729209,223.530278081213,0.275276638041155,425.644341139709,0.26399264413463,278.260154772324,1.35532461828646,1315.46364168636,1.39988403297604,1205.90292342407,1.53463200893683,1218.80775922103,1.93811515605227,1506.51018951612,1.65021272343617,1200.92251703299,0,0.0634310777286791,25.047023704031,0.123435892785661,-41.8739965490591,0.161669607538328,-22.6908629753687,0.191514131250269,57.5028153894469,0.111874144710482,7.33375809301434,0.0511751526591532,59923.7910189358,0.112504923563061,51884.3803069936,0.113843220010624,64337.2840943573,0.17958684460197,75878.3638354492,0.124806940901668,55291.7044487186,0.0551986542809749,60551.1444153661,0.127741343190854,53637.8118939842,0.139980282012221,64852.1593569243,0.216264507070515,79184.937613162,0.13732276515637,55345.4884564855,-160.817860864713
25,0,0.75,311.586721566695,500,1.72284693795261,696.32935280708,1.57564617311066,764.861162794633,0.916925698762995,1795.10543333594,0.944252948582285,688.30112209021,17.2452438150909,352.421398777456,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0.617071290321423,277.157780404167,0.562835265936117,306.349795586502,0.375862528613262,528.081115339122,0.678385093679518,196.12662489487,1.31110580960623,356.277475213392,1.87457018886953,1516.7280317058,1.88578543377926,1486.94304532339,1.72524072214102,1411.06035476462,1.09468282013356,1270.48942288561,2.50429815471944,1731.21441513693,0,0.176188450610924,10.2775611564607,0.162740030977776,16.077531670541,0.0926434424271913,57.5603304957338,0.0280689658855739,1.00757829276802,0.24758707681781,34.9290992888715,0.102704528836056,99796.8096674193,0.113674051566911,90526.3394330953,0.118261053350401,50637.8610900566,0.0112559575365597,74968.0632171224,0.0924688134646689,122783.477166616,0.133746898964734,99902.4379307441,0.140158369249559,90784.8264577126,0.126843860775161,53951.0527368347,0.0120438243824452,74969.0784311385,0.153768174071857,124003.519143748,-133.218722500226
25,0,0.75,311.586721566695,500,1.80659446304831,893.992236128234,1.08903106633903,1436.62105881007,2.54600441940359,629.454347596538,1.24517316299537,760.579959771003,1.73481314498902,554.971066729539,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.657251266065467,375.503404124885,0.227274622317003,476.055272389092,0.831659099659128,283.74732512059,0.32888025440308,199.69976249602,0.97481828540763,161.5005630187,2.09863092848722,1661.07115661095,1.88267977403628,1614.47333537181,2.18587626091317,1573.3270932324,1.76000321994473,1394.16394869987,2.02781084723145,1010.08698466364,0,0.188207417068849,51.0996943755575,0.181520632022458,31.2646518082027,0.199817236577557,57.0378226396406,0.140738882319406,22.7325315074727,0.0482211687245184,29.6721354544572,0.134937030263799,107340.671495314,0.177984823706368,84173.9919080644,0.119110759546329,108011.697107479,0.133023469209439,92666.0462341032,0.0720153332520835,46769.9089535146,0.170359062103527,109951.850260589,0.210934563556201,85151.4703607525,0.159037687579821,111265.01031895,0.152830902205954,93182.8142228414,0.074340614365242,47650.3445759423,-137.645682817036
25,0,0.75,311.586721566695,500,1.88106819638025,423.123075057947,1.40804619874724,614.466392335207,1.00826407312115,765.002293667708,1.19385494641581,950.256969538935,2.14919480354769,361.691884133805,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,0.898913370598373,-69.1642462146025,0.718318292892062,184.514397929951,0.400727519414857,300.742596461373,0.426234928539548,442.666328597446,1.04175589848208,-11.8465319653439,1.89923666168765,804.046320586373,1.895110411206,1185.85307901383,1.43081323272988,1195.08147514878,1.66354649370991,1452.0220294087,2.39657381367377,597.516308589882,0,0.00739380211958721,109.690581250947,0.00995530978619259,40.5681438070668,0.0960068966535811,-3.19369221057444,0.134382645900727,-5.93457181095697,-0.0345227259410593,73.0839423280203,0.0649912858588087,49523.6143418708,0.0899443463314694,65123.2931702696,0.068916163952971,51949.1671739266,0.0994334509883963,66170.2611141701,0.119216462134737,24117.1676311028,0.0650459541685923,61555.6379570415,0.0900434545244084,66769.0674622205,0.0781334881580224,51959.3668438625,0.117492146507677,66205.4802567495,0.120408280741139,29458.4302573082,-173.681979838895
25,0,0.75,311.586721566695,500,1.33647372359371,1044.43329038308,1.15746322748471,1308.2328862175,1.28833537791655,1510.10471435682,1.42274841062876,781.985679128909,2.11926301824895,544.848450924185,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.383768007184962,369.902960620033,0.211414721624696,414.926475654055,0.334936003780724,476.194242955175,0.709540680344277,277.684366304252,1.01018035165594,82.2716900677897,1.91003209001409,1645.32015258963,1.97026222064134,1690.60459595798,2.20117519378394,1611.65873895667,1.69481677690839,1439.36498437611,2.1981123615567,1073.21990586954,0,0.189513503722341,26.278388701369,0.177056674207011,14.2625285023771,0.197531180764555,63.9676197209364,0.112687216480151,10.1487230930052,0.132042281027617,55.4563428244278,0.151298191321824,105652.286756202,0.200923501972464,105695.520445241,0.226208530347279,83737.7883308972,0.0630507506203484,87649.1794882537,0.0916552904094432,63778.791821774,0.187213559414942,106342.840468942,0.232272567853712,105898.940164522,0.265227097721518,87829.6447036595,0.0757491593783929,87752.1760686722,0.109090454388419,66854.1977812344,-131.936355502477
25,0,0.75,311.586721566695,500,2.12672225167372,516.81242872435,1.42353326244461,423.972534985239,3.76852833099213,516.043207703279,0.84138219257887,705.417668983616,0.742442494386546,4557.15104056013,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.874337058307654,84.6548026518551,0.713113274943334,-51.4526459901896,1.26603181843074,492.706715341772,0.0575938822128477,289.244316133323,-0.045171340020204,729.813903083085,1.87082946545543,1181.92059332567,1.5500619685273,696.464512092676,2.42046115530373,1695.33773001167,1.33932712034388,1201.43562288264,1.94318820840066,1500.3049614215,0,0.113944634240305,105.622732315133,0.0370475540010421,110.570020099102,0.108168570959116,32.7701322852573,0.104966972941082,-40.5879103963139,0.209533401925212,-17.8988561515213,0.0644944518166855,78198.4323559111,0.0454958768329454,36331.3353898694,0.0865583715540795,93937.5366303059,0.106701287848645,54043.8432969298,0.256781780736092,38557.5627445118,0.0774778314888425,89354.5939376253,0.0468683980904055,48557.0647345852,0.0982588112974167,95011.4182002991,0.117719353257059,55691.221767269,0.300686027258445,38877.9317960447,-151.325332651214
