"n","p","q","tau","B","shape.1","shape.2","shape.3","shape.4","shape.5","scale.1","scale.2","scale.3","scale.4","scale.5","shape.mle.1","shape.mle.2","shape.mle.3","shape.mle.4","shape.mle.5","scale.mle.1","scale.mle.2","scale.mle.3","scale.mle.4","scale.mle.5","shape.lower.1","shape.lower.2","shape.lower.3","shape.lower.4","shape.lower.5","shape.upper.1","shape.upper.2","shape.upper.3","shape.upper.4","shape.upper.5","scale.lower.1","scale.lower.2","scale.lower.3","scale.lower.4","scale.lower.5","scale.upper.1","scale.upper.2","scale.upper.3","scale.upper.4","scale.upper.5","convergence","loglik"
100,0.215,0.825,377.709824077126,500,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.40575519221323,1.46560322513982,0.772806253719472,1.68961284678317,2.29962639670532,480.687083600093,939.857325805914,1687.8432261822,787.281444657448,535.215236399412,1.00396900582309,0.701121555819058,0.538139605987335,0.872507661599036,1.19049604342396,2.07197118796758,2.61537328963108,1.10923915127722,7.6230445670075,4.7403845837914,361.719010730266,518.793003561483,831.560710741343,428.604987014292,399.155719189151,767.58878653801,7436.47572003294,8102.07116661373,5812.55621716007,1205.47552405898,0,-643.631242921622
100,0.215,0.825,377.709824077126,500,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.65062502688325,0.993280953959163,1.35441961363652,1.15984003985977,1.52754045339033,886.871017154719,953.464021535225,629.546713667516,885.234225181333,975.426069091532,0.889229558635547,0.652097976733511,0.821274491847698,0.6826058512782,1.03057617467461,4.72396251081476,1.64348094813321,2.02167204912147,1.78824065154799,2.79078369566268,501.748718381192,507.109698745464,434.180696730585,513.647318394686,518.92112456115,5218.77776005554,4765.00146544487,1595.26327707861,3523.59806879531,2982.00921904994,0,-612.575055858612
100,0.215,0.825,377.709824077126,500,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.78014262740736,1.34357933797012,1.17867667545248,1.05885071190133,1.53436318351293,1226.7373071877,609.492375517817,993.016177812739,1125.4209620298,452.830898421933,1.26645664897843,1.10747330598636,0.882379953681805,0.728012226312125,1.20441491696362,6.02362123289408,1.61795356674286,1.80439512862751,1.53046016530131,2.02798918381924,632.922041684788,422.078546017435,571.736516797496,601.484105519627,338.907358390381,4026.35054768849,1193.20334463275,3419.09108747696,6467.85567803676,703.014191185637,0,-606.51099245273
100,0.215,0.825,377.709824077126,500,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.73547074458502,0.716690564005838,1.19821025155473,1.30682772413839,1.14686776291114,1375.08269841404,1890.2179396746,908.025816642007,922.446549254242,798.605233551814,0.849114300745746,0.414152741124173,0.91525119975285,0.838732213554937,0.829629463579125,5.77959740934092,1.15234630908095,1.67477146862593,2.43331499097145,1.52363291281183,626.607359381722,781.161193123549,553.785975029228,543.659203112685,491.840253847274,4856.48140130923,15843.7337896844,2501.44657517217,2938.93143280318,1731.48275970857,0,-589.230377819922
100,0.215,0.825,377.709824077126,500,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.59075306255569,0.990568233140209,1.31322306639925,1.26584736569057,1.08146294273941,746.817137943583,1172.95978207566,900.512151317814,670.735793650132,1037.48646397255,1.20212110397872,0.665908887759809,0.755631011824652,0.912694775931992,0.620041768377019,2.08163287416783,1.34679491895483,3.8390422957243,1.67145119319065,2.71515958649133,485.691333792178,594.848999090338,491.339564102815,456.342384510474,541.68014957065,1423.03758626101,4661.47282603195,3858.22488650935,1760.87799009707,5908.53532418513,0,-610.990339801884
100,0.215,0.825,377.709824077126,500,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.19548478787062,1.39136868663723,0.976649058503139,0.874755569580712,1.03683223684817,2726.56539200343,506.795224791391,674.084460465061,2938.34478834978,1046.01963563983,0.67494854140606,0.967757278634907,0.726878592268099,0.302007643069395,0.680362691145456,5.17351070942995,1.79256992517612,1.3245380379727,2.42411545056224,1.48331511772961,785.239069066497,372.50867039126,431.659227204764,698.423447071187,576.227332017223,17506.931206798,913.900197590381,1421.85236843642,14130303.0790338,4103.88781557591,0,-607.987362437726
100,0.215,0.825,377.709824077126,500,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.18834300396718,1.01399759202799,1.25257413528916,0.867211766397736,1.46485715148476,969.8237906666,1720.1153489018,650.539947787483,1563.06197171475,862.068737399714,0.641801037979971,0.619789124731065,0.888479544149839,0.553770658983774,0.939615062141118,4.67926387337649,2.14784052866318,2.16369683100289,1.50712093605033,8.46160790313757,466.977518681457,715.721260418365,436.294636637411,621.490610133035,467.364226277609,10392.1900277941,29251.1409023876,1572.73245218898,12724.4056494035,3831.26766227156,0,-608.607748013211
100,0.215,0.825,377.709824077126,500,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,0.705171561129445,0.799337147075777,1.49678184304548,0.999466158665557,1.11258679278271,7886.30141391494,1163.28179723831,595.729462282799,1402.06164449201,1293.64454682721,0.378088241255599,0.619881896564695,0.907744333105549,0.718815045196015,0.852635832638326,3.37364075684447,1.0473730029116,2.38013538647437,1.41707786747611,1.64509463376356,1177.62327632859,621.203645360638,430.101267228402,692.119468722959,690.351591202,228890.852512774,3440.31421744686,1251.60647510173,4302.28934761531,5497.19796391573,0,-569.948750581154
100,0.215,0.825,377.709824077126,500,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.38090876276026,1.76107812157806,1.10548213480039,1.19056398729091,1.11685875917285,668.713575952324,670.255701872419,674.443990764727,823.765924728995,984.178327216347,0.8411771182079,1.00593499261061,0.808468755526569,0.796958643842764,0.808243332697253,2.31995460856226,3.50920499195491,1.51942311591733,2.29224262394664,1.5677286012708,449.810552981112,450.046171788638,449.040258463794,485.653470074787,569.181530388117,1745.52722816196,2500.23024063443,1483.09655804706,2822.21770726896,2763.32006084406,0,-648.224286663888
100,0.215,0.825,377.709824077126,500,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,2.11533272159906,0.768398296365141,1.16031615708553,1.28309116601638,1.62159065554215,1061.94632003053,3174.32532131308,761.846802565541,874.756974125299,778.383494569776,1.31259667116967,0.498460203602357,0.854117368983808,0.832534597310249,1.09470555869332,7.14125426155405,1.26905293095193,1.55482574261816,1.97362729705976,3.0829150281377,571.630648991822,1082.9271964721,479.53769546094,545.078331835464,503.926558869142,3409.24706203872,54315.0086058636,1480.37362330025,3165.45914828229,1751.41530702619,0,-567.182627327374
